Origin,Destination,Total_Cancelled,Total,AvgAirTime,Month,Day,DayOfYear,Cancelled_Percentage,Air_Time,Cancelled
ATL,CLT,0,12,43.1666666666667,9,1,1,0,Airtime: Less than 2 hour,0% - 19%
ATL,CLT,0,11,40.7272727272727,9,2,2,0,Airtime: Less than 2 hour,0% - 19%
ATL,CLT,0,12,41.75,9,3,3,0,Airtime: Less than 2 hour,0% - 19%
ATL,CLT,0,16,40.4375,9,4,4,0,Airtime: Less than 2 hour,0% - 19%
ATL,CLT,0,16,39.8125,9,5,5,0,Airtime: Less than 2 hour,0% - 19%
ATL,CLT,0,16,42.125,9,6,6,0,Airtime: Less than 2 hour,0% - 19%
ATL,CLT,0,16,39.1875,9,7,7,0,Airtime: Less than 2 hour,0% - 19%
ATL,CLT,0,15,37.1333333333333,9,8,8,0,Airtime: Less than 2 hour,0% - 19%
ATL,CLT,0,15,39,9,9,9,0,Airtime: Less than 2 hour,0% - 19%
ATL,CLT,0,16,38.6875,9,10,10,0,Airtime: Less than 2 hour,0% - 19%
ATL,CLT,13,16,37.3333333333333,9,11,11,81,Airtime: Less than 2 hour,80% - 89%
ATL,CLT,16,16,NA,9,12,12,100,Airtime: Less than 2 hour,90% - 100%
ATL,CLT,10,16,38.3333333333333,9,13,13,62,Airtime: Less than 2 hour,60% - 79%
ATL,CLT,7,16,39.1111111111111,9,14,14,44,Airtime: Less than 2 hour,40% - 59%
ATL,CLT,3,15,38.4166666666667,9,15,15,20,Airtime: Less than 2 hour,20% - 39%
ATL,CLT,3,15,36.4166666666667,9,16,16,20,Airtime: Less than 2 hour,20% - 39%
ATL,CLT,1,16,37.8666666666667,9,17,17,6,Airtime: Less than 2 hour,0% - 19%
ATL,CLT,3,16,40.8461538461538,9,18,18,19,Airtime: Less than 2 hour,0% - 19%
ATL,CLT,2,16,40.8571428571429,9,19,19,12,Airtime: Less than 2 hour,0% - 19%
ATL,CLT,2,16,43.2857142857143,9,20,20,12,Airtime: Less than 2 hour,0% - 19%
ATL,CLT,4,16,40.8333333333333,9,21,21,25,Airtime: Less than 2 hour,20% - 39%
ATL,CLT,2,14,42,9,22,22,14,Airtime: Less than 2 hour,0% - 19%
ATL,CLT,1,13,38.5833333333333,9,23,23,8,Airtime: Less than 2 hour,0% - 19%
ATL,CLT,1,15,45.5714285714286,9,24,24,7,Airtime: Less than 2 hour,0% - 19%
ATL,CLT,0,15,39.2,9,25,25,0,Airtime: Less than 2 hour,0% - 19%
ATL,CLT,0,15,38.8,9,26,26,0,Airtime: Less than 2 hour,0% - 19%
ATL,CLT,0,15,41.1333333333333,9,27,27,0,Airtime: Less than 2 hour,0% - 19%
ATL,CLT,2,15,38,9,28,28,13,Airtime: Less than 2 hour,0% - 19%
ATL,CLT,2,14,37.9166666666667,9,29,29,14,Airtime: Less than 2 hour,0% - 19%
ATL,CLT,1,14,40.8461538461538,9,30,30,7,Airtime: Less than 2 hour,0% - 19%
ATL,DCA,0,16,74.5,9,1,31,0,Airtime: Less than 2 hour,0% - 19%
ATL,DCA,0,13,74.2307692307692,9,2,32,0,Airtime: Less than 2 hour,0% - 19%
ATL,DCA,0,16,75.25,9,3,33,0,Airtime: Less than 2 hour,0% - 19%
